id,category
1,ITパスポート
2,基本情報技術者
3,応用情報技術者
4,システムアーキテクト
5,ビジネス統計スペシャリスト
6,情報処理安全確保支援士
7,ITストラテジスト
8,システム監査技術者
9,ネットワークスペシャリスト
10,プロジェクトマネージャ
11,医療情報技師
12,ITサービスマネージャ
13,AWS認定
14,Webデザイナー検定
15,エンベデッドシステムスペシャリスト
16,データベーススペシャリスト
17,ディジタル技術検定
18,マイクロソフト オフィス スペシャリス...
19,日商PC検定試験
20,オラクルマスター
21,LPIC
22,C言語プログラミング能力認定試験
23,E資格（JDLA Deep Learning for ENGINEER）
24,CISSP
25,情報セキュリティマネジメント
26,情報セキュリティ管理士認定試験
27,生成ＡＩパスポート試験
28,IoTシステム技術検定
29,テクニカルコミュニケーション技術検定...
30,シスコ技術者認定
31,IT検証技術者認定試験（IVEC）
32,Oracle認定Javaプログラマ（Java SE）
33,モバイルシステム技術検定
34,Microsoft Azure 認定資格
35,RPA技術者検定
36,LinuC
37,Google Cloud 認定資格
38,HTML5プロフェッショナル認定試験
39,G検定（ジェネラリスト検定）
40,Python3 エンジニア認定基礎試験
41,OSS-DB技術者認定試験
42,DTP検定
43,JSTQB 認定テスト技術者資格
44,CompTIA
45,インターネット実務検定（I検）
46,コンピュータサービス技能評価試験（CS...
47,ウェブ解析士
48,情報処理技能検定試験（表計算・データ...
49,SAP認定コンサルタント資格
50,P検（ICTプロフィシエンシー検定試験）
51,データサイエンティスト検定 リテラシー...
52,日商プログラミング検定
53,MTA（マイクロソフトテクノロジーアソシ...
54,PHP技術者認定試験
55,MySQL 認定資格
56,WEBライティング技能検定
57,医療情報システム監査人
58,JP1試験
59,ITIL Foundation
60,ITコーディネータ（ITC）
61,.com Master
62,モバイルサイト認定資格
63,CISM（公認情報セキュリティマネージャー）
64,ICT支援員
65,DTPエキスパート
66,アドビ認定プロフェッショナル「Adobe C...
67,CISA（公認情報システム監査）
68,iNARTE-EMC
69,IT導入士
70,検索技術者検定
71,プレゼンテーション作成検定試験
72,Javaプログラミング能力認定試験
73,Ruby技術者認定試験
74,マイクロソフト認定トレーナー（MCT）
75,AI実装検定
76,情報検定（J検）
77,IoT検定
78,ソフトウェア品質技術者
79,Google アナリティクス個人認定資格（GA...
80,Google 広告の認定資格
81,Google Marketing Platform 認定試験
82,YouTube 認定資格
83,CGクリエイター検定
84,IMA検定
85,画像処理エンジニア検定
86,ウェブデザイン技能検定
87,CGエンジニア検定
88,タイピング技能検定
89,Webクリエイター能力認定試験
90,VBAエキスパート
91,電子ファイリング検定
92,マルチメディア検定
93,Yahoo!プロモーション広告 プロフェッシ...
94,アドビ認定アソシエイト Photoshop
