id,category
1,ファイナンシャル・プランニング技能検...
2,社会保険労務士
3,貸金業務取扱主任者
4,紛争解決手続代理業務試験
5,中小企業診断士
6,品質マネジメントシステム審査員（ISO90...
7,消費生活相談員
8,RCCM
9,クレジット債権管理士
10,年金アドバイザー
11,日本アンダーライティング協会資格試験
12,外務員資格試験（一種・二種）
13,ファイナンシャル・プランニング技能検...
14,損害保険登録鑑定人
15,テクニカルアナリスト
16,金融窓口サービス技能士
17,キャリアコンサルタント試験
18,CFA
19,銀行業務検定
20,JQE資格
21,消費生活専門相談員
22,投資診断士
23,経営士・経営士補
24,国際公認投資アナリスト CIIA
25,CIA（公認内部監査人）
26,知的財産アナリスト
27,消費生活アドバイザー
28,企業経営アドバイザー検定
29,労務管理士
30,証券アナリスト CMA
31,DCプランナー
32,農業経営アドバイザー
33,プライベートバンカー
34,公認不正検査士（CFE）
35,CFP
36,マネジメント検定
37,応用地形判読士
38,雇用環境整備士
39,損保一般試験
40,RMO
41,認定アセットマネージャー国際資格検定...
42,アクチュアリー
43,保険仲立人試験
44,アジャスター試験
45,キャリアコンサルティング技能検定
46,住宅ローンアドバイザー
47,印刷営業士・管理印刷営業士
48,住宅ローン診断士
49,AFP
