id,category
1,ビジネスマネジャー検定試験
2,秘書検定
3,品質管理検定（QC検定）
4,調達プロフェッショナル認定資格 CPP
5,電話応対技能検定（もしもし検定）
6,第一線監督者マネジメント資格 CPF
7,サービス接遇検定
8,全商ビジネス文書実務検定
9,人事総務検定
10,リテールマーケティング（販売士）検定
11,給与計算実務能力検定
12,個人情報保護士
13,個人情報保護実務検定
14,ビジネス・キャリア検定
15,健康経営アドバイザー
16,文書情報管理士
17,派遣元責任者
18,生産技術者マネジメントスキル認定資格 ...
19,クレジット審査業務能力検定
20,ビジネス文書検定
21,認定コンプライアンス・オフィサー
22,ビジネスコンプライアンス検定
23,経済学検定試験
24,交渉アナリスト
25,商業経済検定
26,障害者職業生活相談員
27,接客サービスマナー検定
28,文書処理能力検定
29,職業紹介責任者
30,CSR検定
31,PRプランナー
32,リモート実務検定
33,文字起こし技能テスト
34,日経TEST
35,認定ファシリティマネジャー
36,物流技術管理士
37,IPO実務検定
38,実用マナー検定
39,ビジネス能力検定（B検）ジョブパス
40,PMP（Project Management Professional）
41,マイナンバー実務検定
42,求人広告取扱者
43,記録情報管理士
44,社会人常識マナー検定
45,マーケティング・ビジネス実務検定
46,ビジネス実務マナー検定
47,販路コーディネータ
48,日商マスター
49,MBA
50,公文書管理検定
51,VEリーダー（VEL）
52,通販エキスパート検定
53,接客販売技能検定
54,ファイリング・デザイナー検定
