id,category
1,宅地建物取引士
2,管理業務主任者
3,構造計算適合判定資格者検定
4,測量士・測量士補
5,1級電気通信工事施工管理技術士
6,マンション管理士
7,建設機械レンタル管理士
8,2級建築施工管理技士
9,二級建築士
10,不動産鑑定士
11,建築物環境衛生管理技術者
12,土地改良換地士
13,補償業務管理士
14,土地区画整理士技術検定
15,建築設備士
16,土地活用プランナー
17,競売不動産取扱主任者
18,一級建築士
19,1級管工事施工管理技士
20,建築鉄骨検査技術者
21,賃貸不動産経営管理士
22,マンション管理員検定
23,不動産証券化協会認定マスター
24,敷金診断士
25,赤外線建物診断技能師
26,土地家屋調査士
27,木造建築士
28,2級管工事施工管理技士
29,配管技能士
30,建築設備検査員
31,空気環境測定実施者
32,地盤品質判定士
33,空き家管理士
34,木造建築物の組立て等作業主任者
35,建築積算士
36,ビル設備管理技能士
37,建築物等の鉄骨の組立て等作業主任者
38,コンストラクション･マネジャー
39,宅建マイスター
40,外壁診断士
41,不動産コンサルティング技能試験
42,ホームインスペクター（住宅診断士）
43,土地改良補償士
44,鉄筋施工技能士
45,土木鋼構造診断士
46,空調給排水管理監督者
47,2級電気通信工事施工管理技術士
48,登録実務講習
49,免震建物点検技術者
50,ビル経営管理士
51,インフラ調査士
52,土地改良補償業務管理者等
53,建築仕上診断技術者
54,被災宅地危険度判定士
55,不動産キャリアパーソン
56,任意売却取扱主任者
57,屋外広告士
58,建築基準適合判定資格者
59,PC工法施工管理技術者
60,建築コスト管理士
61,エクステリアプランナー
62,管理建築士
63,配筋探査技術者
64,ブロック塀診断士
65,1級建築施工管理技士
66,型枠支保工の組立て等作業主任者
67,足場の組立て等作業主任者
68,不動産実務検定
69,構造物診断士
70,再開発プランナー
71,設備士資格検定試験
72,免震部建築施工管理技術者
73,Space Designer検定試験
74,天井耐震診断士
75,商業施設士
76,住宅地盤技術者認定資格（住宅地盤技士）
77,地盤検査技士
78,CFT造施工管理技術者
79,コンクリート造の工作物の解体等作業主任者
80,シックハウス診断士
81,不動産流通実務検定（スコア）
82,足場の組立て等作業従事者特別教育
