id,category
1,自衛隊幹部候補生（陸・海・空）
2,自衛官候補生（陸・海・空）
3,警視庁警察官
4,自衛官 一般曹候補生（陸・海・空）
5,刑務官
6,法務省専門職員（人間科学）
7,国家公務員一般職（社会人）
8,海上保安大学校学生
9,航空保安大学校学生
10,労働基準監督官
11,入国警備官
12,海上保安学校学生
13,国家公務員一般職（大卒程度）
14,外務省専門職員
15,国税専門官
16,皇宮護衛官（高卒程度）
17,国家公務員総合職（院卒者）
18,国家公務員総合職（大卒程度）教養区分除く
19,国会議員政策担当秘書
20,防衛省専門職員
21,食品衛生監視員
22,地方公務員
23,海上保安官
24,国家公務員総合職（院卒者）法務区分
25,衆議院事務局職員 一般職（大卒程度）
26,衆議院事務局職員 総合職（大卒程度）
27,衆議院事務局職員 衛視
28,参議院事務局職員 総合職（大卒程度）
29,皇宮護衛官（大卒程度）
30,国家公務員総合職（大卒程度）教養区分
31,財務専門官
32,衆議院事務局職員 一般職（高卒程度）
33,参議院法制局職員総合職
34,税務職員
35,参議院事務局職員 総合職［技術］（大卒...
36,参議院事務局職員 衛視（高卒程度）
37,気象大学校学生
38,海上保安学校学生（特別）
39,国家公務員一般職（高卒者）
40,参議院事務局職員 一般職（高卒程度）
41,衆議院法制局職員総合職
42,参議院事務局職員 一般職［技術］（高卒...
