id,category
1,介護福祉士
2,看護師
3,臨床検査技師
4,衛生工学衛生管理者
5,医師
6,社会福祉士
7,助産師
8,歯科衛生士
9,薬剤師
10,介護支援専門員（ケアマネジャー）
11,診療放射線技師
12,医学物理士
13,保健師
14,赤十字救急法救急員
15,サービス介助士（ケアフィッター）
16,理学療法士
17,医療経営士
18,歯科技工士
19,作業療法士
20,医療事務技能審査試験（メディカルクラ...
21,高齢者傾聴スペシャリスト
22,福祉住環境コーディネーター検定試験
23,第1種滅菌技師・第2種滅菌技士
24,救急救命士
25,サービス管理責任者
26,応急手当普及員
27,精神保健福祉士
28,応急手当指導員
29,認定救急検査技師
30,歯科医師
31,認定心電検査技師
32,登録販売者
33,心電図検定
34,診療情報管理士
35,准看護師
36,医師国家試験予備試験
37,細胞検査士
38,社会福祉主事
39,児童発達支援管理責任者
40,視能訓練士
41,認定看護師
42,介護職員初任者研修
43,滅菌管理士
44,医師事務作業補助技能認定試験（ドクタ...
45,診療報酬請求事務能力認定試験
46,認知症ライフパートナー
47,看護助手認定実務者試験
48,遺伝子分析科学認定士
49,病院清掃受託責任者
50,救命講習
51,第2種ME技術実力検定試験
52,MR認定試験
53,認定眼鏡士
54,言語聴覚士
55,認定一般検査技師
56,メディカルケアワーカー（看護助手）
57,認知症介護指導者
58,超音波検査士
59,医療事務検定試験
60,介護食士
61,臨床工学技士
62,薬学検定
63,専門看護師
64,歯科助手検定試験
65,福祉用具専門相談員
66,レセプト点検業務検定試験
67,医事コンピュータ技能検定試験
68,透析技術認定士
69,調剤事務管理士
70,介護予防運動指導員
71,難病看護師
72,介護口腔ケア推進士
73,ケアクラーク技能認定試験
74,介護事務管理士
75,第1種ME技術実力検定試験
76,准サービス介助士
77,電子カルテオペレーション実務能力認定試験
78,医療機器修理責任技術者
79,医療情報実務能力検定試験
80,医療事務技能認定試験
81,医療秘書技能検定試験
82,スマート介護士
83,医療事務管理士
84,生活指導員（生活支援員・生活相談員）
85,義肢装具士
86,患者給食受託責任者
87,植込み型心臓不整脈デバイス認定士
88,体外循環技術認定士
89,認知症介助士検定試験
90,移動支援従業者（ガイドヘルパー）
91,歯科医師国家試験予備試験
92,歯科助手資格
93,医事オペレータ技能認定試験（メディカ...
