id,category
1,危険物取扱者
2,火薬類取扱保安責任者
3,毒物劇物取扱責任者
4,特定化学物質及び四アルキル鉛等作業主任者
5,自衛消防技術試験
6,高圧ガス製造保安責任者
7,警備業務検定
8,エックス線作業主任者
9,高圧ガス販売主任者
10,高圧ガス移動監視者
11,河川点検士
12,予防技術検定
13,放射線取扱主任者
14,火薬類製造保安責任者
15,保安業務員
16,液化石油ガス設備士
17,ガス主任技術者
18,防火設備検査員
19,特定高圧ガス取扱主任者
20,石油機器技術管理士
21,倉庫管理主任者
22,作業環境測定士
23,消防設備点検資格者
24,原子炉主任技術者
25,消防設備士
26,発破技士
27,充てん作業者
28,機械警備業務管理者
29,労働安全コンサルタント
30,防火対象物点検資格者
31,ガンマ線透過写真撮影作業主任者
32,防災センター要員
33,特定建築物調査員
34,公園管理運営士
35,安全保障輸出管理実務能力認定試験
36,はい作業主任者
37,高気圧業務特別教育
38,警備員指導教育責任者
39,安全衛生推進者
40,採石業務管理者
41,核燃料取扱主任者
42,防災士
43,航空管制官
44,石綿作業主任者
45,プレス機械作業主任者
46,防犯設備士
47,消防官・消防士
48,カス機器設置スヘシャリスト（GSS）
49,防火安全技術者
50,防火管理者
51,道路橋点検士
52,高速道路点検診断資格
53,安全管理者
54,廃棄物処理施設作業従事者特別教育
55,ポンプ施設管理技術者
56,防犯診断士
57,有機溶剤作業主任者
58,核燃料物質等取扱業務従事者
59,公園施設点検管理士
60,ガス消費機器設置工事監督者
61,林業架線作業主任者
62,タイヤの空気充填作業者
63,コンクリート破砕器作業主任者
64,職長・安全衛生責任者教育
65,水質管理責任者
66,保安業務監督者
67,公共施設保守点検技士・管理士
68,保安係員
69,防災介助士
70,酸素欠乏・硫化水素危険作業主任者
71,ダム管理主任技術者
72,ダム水路主任技術者
73,防災管理者
74,普通第1種圧力容器取扱作業主任者
75,化学設備関係第一種圧力容器取扱作業主任者
76,防災管理点検資格者
77,乾燥設備作業主任者
78,高圧室内作業主任者
79,酸素欠乏・硫化水素危険作業者
80,ダム管理技士
81,特殊化学設備作業者
82,エックス線等透過写真撮影者
83,石綿取扱い作業者特別教育
84,四アルキル鉛作業者特別教育
85,特定粉じん作業者
