id,category
1,機械保全技能士
2,JIS品質管理責任者
3,自主保全士
4,機械・プラント製図技能士
5,計装士
6,生産マイスター
7,ボイラー技士
8,溶接管理技術者
9,非破壊試験技術者資格試験
10,潜水士
11,技術士・技術士補
12,ビルクリーニング技能士
13,ボイラー溶接士（普通・特別）
14,ガス溶接作業主任者
15,小規模ボイラー取扱者
16,舗装施工管理技術者
17,産業洗浄技能士
18,農業土木技術管理士
19,セーフティアセッサ
20,エネルギー管理士
21,3Dプリンター活用技術検定試験
22,電子顕微鏡技術認定試験
23,機械加工技能士
24,昇降機等検査員
25,水道（浄水・管路）施設管理技士
26,計算力学技術者
27,生産士
28,3次元CAD利用技術者試験
29,眼鏡作製技能士
30,地質調査技士
31,舗装診断士
32,自家用発電設備専門技術者
33,巻締主任技術者
34,建築CAD検定試験
35,MUD教育検定
36,ボイラー整備士
37,ボイラー・タービン主任技術者
38,認定補聴器技能者
39,塗装技能士
40,化学分析技能士
41,包装管理士
42,半導体技術者検定
43,機械設計技術者
44,さく井技能士
45,認定人間工学専門家
46,太陽光発電メンテナンス技士資格
47,洗浄技術検定
48,化学工学技士
49,CADトレース技能審査
50,林業技士
51,エネルギー診断プロフェッショナル
52,アーク溶接作業者
53,検査分析士
54,研削といし取替試運転作業者
55,2次元CAD利用技術者試験
56,プレス金型取替作業者
57,産業用ロボットの特別教育
58,速記技能検定
59,ガス溶接技能講習
60,とび技能士
61,鉛作業主任者
62,信頼性技術者
63,ピアノ調律技能士
64,サウンドレコーディング技術認定試験
65,ボイラー据付作業指揮者
