id,category
1,無人航空機操縦者技能証明
2,1級土木施工管理技士
3,2級建設機械施工管理技士
4,移動式クレーン運転士
5,クレーン・デリック運転士
6,玉掛技能者
7,2級土木施工管理技士
8,コンクリート技士・主任技師
9,解体工事施工技士
10,フォークリフト運転技能者
11,砂利採取業務主任者
12,給水装置工事主任技術者
13,ショベルローダー等運転技能者
14,1級建設機械施工管理技士
15,のり面施工管理技術者
16,簡易内管施工士
17,排水設備工事責任技術者
18,チェーンソーによる伐木等特別教育
19,コンクリート診断士
20,コンクリート橋架設等作業主任者
21,ジャッキ式つり上げ機械運転者
22,不整地運搬車運転者
23,軌道装置動力車運転者
24,木材加工用機械作業主任者
25,車両系建設機械（整地・運搬・積込み用...
26,ゴンドラ操作者
27,河川維持管理技術者
28,採石のための掘削作業主任者
29,地すべり防止工事士
30,車両系建設機械（基礎工事用）運転者
31,コンクリート構造診断士
32,床上操作式クレーン運転技能講習
33,地山の掘削及び土止め支保工作業主任者
34,揚貨装置運転士
35,ドローン操縦士（ドローン教習所）
36,高所作業車運転特別教育
37,巻上げ機運転者
38,小型移動式クレーン運転技能講習
39,建設用リフト運転士
40,車両系建設機械（コンクリート打設用）...
41,機械集材装置運転者
42,ずい道内作業者特別教育
43,ロープ高所作業特別教育
44,フルハーネス型墜落制止用器具特別教育
45,プレストレストコンクリート技士
46,高所作業車運転技能講習
47,鋼橋架設等作業主任者
48,ずい道等の覆工作業主任者
49,ずい道等の掘削等作業主任者
50,ボーリングマシン運転者
51,車両系建設機械（解体用）運転者
52,車両系建設機械（締固め用） 運転者
53,車両系建設機械（基礎工事用）の作業装...
54,車両系木材伐出機械運転者
