id,category
1,eco検定（環境社会検定試験）
2,SDGs検定
3,一般計量士
4,公害防止管理者
5,特別管理産業廃棄物管理責任者
6,排水管清掃作業監督者
7,浄化槽管理士
8,下水道管理技術認定試験
9,臭気判定士
10,廃棄物処理施設技術管理者
11,清掃作業監督者
12,冷媒フロン類取扱技術者
13,下水道技術検定
14,土壌医検定
15,省エネ・脱炭素エキスパート検定
16,環境計量士（濃度関係/騒音・振動関係）
17,街路樹剪定士
18,環境カウンセラー
19,統括管理者
20,環境管理士
21,浄化槽設備士
22,造園施工管理技士
23,産業廃棄物適正管理能力検定
24,ユニバーサルマナー検定
25,林業普及指導員
26,環境アセスメント士
27,樹木医・樹木医補
28,環境測定分析士
29,貯水槽清掃作業監督者
30,ランドスケープアーキテクト（RLA）
31,土壌汚染調査技術管理者
32,土壌環境監理士
33,水道技術管理者
34,環境騒音・振動測定士
35,防除作業監督者
36,港湾海洋調査士
37,ビオトープ管理士
38,土壌環境リスク管理者
39,浄化槽技術管理者
40,浄化槽検査員
41,浄化槽清掃技術者
42,ダクト清掃作業監督者
43,グリーンアドバイザー
44,3R・低炭素社会検定
45,森林インストラクター
