id,category
1,駐車監視員
2,全国手話検定試験
3,掃除能力検定
4,保護司
5,要約筆記者
6,普及指導員
7,ダイエット検定
8,日本農業技術検定
9,色彩検定
10,日本農業検定
11,ビジネス点字検定
12,毛筆書写技能検定
13,刈払機取扱作業者
14,カラーコーディネーター検定試験
15,神職資格
16,家電製品アドバイザー
17,チャイルドマインダー
18,気象予報士
19,手話技能検定
20,ナマハゲ伝導士
21,文章読解・作成能力検定
22,話しことばとコミュニケーション検定
23,DJI CAMP（スペシャリスト）
24,芝草管理技術者
25,お客様対応専門員（CAP）
26,照明士、照明コンサルタント
27,相続診断士
28,DIYアドバイザー
29,インテリアコーディネーター
30,クリーニング師
31,日本調香技術師検定
32,テープ起こし技術者 資格検定試験
33,点字技能師
34,スーパーマーケット検定
35,硬筆書写技能検定
36,フォトマスター検定
37,終活アドバイザー
38,水産業普及指導員
39,官能評価士
40,年金検定
41,マナー検定
42,葬祭ディレクター
43,食育実践プランナー
44,ベビーシッター資格認定試験
45,敬語力検定
46,色彩活用パーソナルカラー検定
47,校正技能検定
48,フラワーデコレーター
49,パーソナルカラリスト検定
50,声優能力検定
51,賞状技法士
52,漢方養生指導士
53,職業訓練指導員
54,遺品整理士
55,感染対策アドバイザー検定
56,社会教育主事・社会教育主事補
57,インテリアプランナー
58,日本語ワープロ検定試験
59,手話通訳士
60,キッチンスペシャリスト
61,温活アドバイザー
62,終活カウンセラー
63,ベビーマッサージインストラクター
64,生前整理診断士
65,スマートマスター
66,ベビーシッター技能認定
67,フラワーデザイナー資格検定試験
68,ブライダルプランナー検定
69,JUIDAドローン資格
70,箸検定
71,整理収納アドバイザー
