id,category
1,実用英語技能検定（英検）
2,日本語検定（語検）
3,スペイン語技能検定
4,日本漢字能力検定（漢検）
5,英会話検定
6,HSK（漢語水平考試）
7,TOEIC Listening & Reading Test
8,英単語検定
9,実用フランス語技能検定（仏検）
10,ハングル能力検定
11,語彙・読解力検定
12,韓国語能力試験（TOPIK）
13,DELF・DALF
14,技術英語能力検定
15,ドイツ語技能検定試験
16,日本医学英語検定試験
17,日本語能力試験
18,ブラジル・ポルトガル語検定試験 Celpe-...
19,TOEFL iBT
20,英語応対能力検定
21,インドネシア語技能検定
22,JTA公認 翻訳専門職資格
23,医療通訳技能認定試験
24,ロシア語検定試験
25,BJT ビジネス日本語能力テスト
26,実用タイ語検定試験
27,実用日本語検定
28,実用イタリア語検定
29,ビジネス通訳検定（TOBIS）
30,実用ベトナム語技能検定試験（ViLT）
31,一般通訳検定（TOUI）
32,日商ビジネス英語検定
33,国際連合公用語英語検定試験（国連英検）
34,日本語教育能力検定試験
35,中国語検定試験
36,CBS（国際秘書）検定
37,観光英語検定
