id,category
1,名探偵コナン検定
2,すみっコぐらし検定
3,スパイス&ハーブ検定
4,茶道文化検定
5,日本さかな検定（ととけん）
6,ねこ検定
7,天文宇宙検定
8,旅客機・エアライン検定
9,神社検定
10,国際知識検定
11,世界遺産検定
12,歴史能力検定（歴検）
13,江戸文化歴史検定
14,日光検定
15,日本城郭検定
16,温泉ソムリエ
17,メディカルハーブ検定
18,知識検定
19,航空検定
20,ことわざ検定（こと検）
21,なにわなんでも大阪検定
22,鎌倉検定
23,夜景観光士検定
24,古民家鑑定士
25,リラックマ検定
26,東京シティガイド検定
27,星空宇宙天文検定
28,金沢検定
29,地図地理検定
30,文具知識能力検定
31,ドローン検定（無人航空従事者試験）
32,京都・観光文化検定試験
33,謎解き能力検定
34,ニュース時事能力検定（N検）
35,おさかなマイスター・おさかなマイスタ...
36,ブッシュクラフトアドバイザー
37,美術検定
38,バーベキュー検定
39,DSCO認定クリスタルデコレーション資格
40,数秘術鑑定士
41,国宝検定
42,ハーブ＆ライフ検定
43,新選組検定
