id,category
1,調理師
2,日本酒検定
3,管理栄養士
4,専門調理師・調理技能士
5,食品衛生責任者
6,製菓衛生師
7,食品微生物検査技士
8,パンシェルジュ検定
9,食品衛生管理者
10,発酵検定
11,国際酒師
12,日本ビール検定
13,食の検定
14,菓子検定
15,食生活アドバイザー検定
16,サプリメントアドバイザー
17,日本ラーメン検定
18,焼酎検定
19,ソムリエ
20,農産物検査員
21,紅茶検定
22,酒師
23,ウイスキー検定
24,食品表示検定
25,パン製造技能士
26,スイーツコンシェルジュ
27,SAKE DIPLOMA（酒ディプロマ）
28,お米マイスター
29,北海道フードマイスター検定
30,チーズプロフェッショナル資格認定
31,惣菜管理士
32,ごはんソムリエ
33,JBAバリスタライセンス
34,C.P.A.チーズ検定
35,HACCP主任技術者
36,食品安全検定
37,コーヒーインストラクター検定
38,薬膳コーディネーター
39,栄養士
40,飾り巻き寿司技能認定
41,食鳥処理衛生管理者
42,チョコレート検定
43,ごはん検定 めしけん
44,お好み焼き検定
45,菓子製造技能士
46,食育インストラクター
47,フードスペシャリスト
48,アスリートフードマイスター
49,野菜ソムリエ
50,きのこ検定
51,きのこマイスター
52,HACCP普及指導員
53,豆腐マイスター
54,健康食品管理士
55,家庭料理技能検定
56,フードアナリスト
57,WSET
58,フードコーディネーター資格認定試験
59,絵巻寿司検定
60,料理検定
61,HACCPリーダー（食品安全管理者）
62,ふぐ取扱責任者
63,ワインエキスパート
64,食育アドバイザー
65,スポーツフードアドバイザー
